iterations,fitness,num_node,Concentrate gor amount,Concentrate waste amount,Tail gor amount,Tail waste amount,ppk gor,ppk conc,config,cores,runtime
8419,372.952,15,0,0,0,0,100,500,4-8-14-0-6-13-0-15-8-2-12-8-4-0-16-0-11-13-9-13-2-0-1-0-10-0-7-15-3-8-5,16,7.91824
8239,398.764,15,0,0,0,0,100,500,8-3-7-13-9-3-16-14-6-9-12-3-0-14-8-3-2-14-10-13-3-14-11-1-4-3-5-15-14-13-1,32,9.93427
11696,351.782,15,0,0,0,0,100,500,5-7-11-5-12-5-14-10-11-5-3-13-6-7-0-9-12-15-9-8-13-7-2-5-4-13-1-8-7-5-16,2,357.047
9525,398.764,15,0,0,0,0,100,500,7-11-6-13-9-5-7-13-16-6-1-11-0-11-13-5-14-13-3-13-10-13-8-15-5-0-4-5-2-5-12,4,39.4541
8824,398.764,15,0,0,0,0,100,500,10-6-2-2-11-8-4-8-13-8-10-2-14-15-8-0-9-6-12-2-1-8-3-2-5-6-0-12-7-2-16,8,22.6932
8474,398.764,15,0,0,0,0,100,500,2-13-2-14-12-13-10-4-14-15-13-4-3-14-16-14-6-14-1-3-8-13-11-5-9-14-7-4-5-13-0,16,10.8275
8280,398.764,15,0,0,0,0,100,500,14-11-3-3-9-11-13-2-12-3-16-2-7-3-1-13-8-0-6-3-10-3-4-15-2-2-14-11-0-2-5,32,10.0693
13134,381.437,15,0,0,0,0,100,500,4-1-6-3-9-15-3-13-11-3-14-1-0-1-10-1-5-1-16-3-12-1-8-13-1-3-4-15-2-11-7,2,82.517
11124,381.437,15,0,0,0,0,100,500,1-9-13-2-12-9-0-13-6-15-2-13-3-13-10-2-14-13-11-15-4-13-8-13-16-0-5-2-7-2-1,4,45.3904
8297,374.735,15,0,0,0,0,100,500,7-3-7-10-14-10-1-4-11-15-5-15-3-13-16-3-8-10-2-13-6-5-13-4-10-13-9-3-0-13-12,8,14.7281
11104,310.378,15,0,0,0,0,100,500,6-13-6-8-5-8-14-15-9-8-2-8-16-13-12-3-8-13-0-10-13-3-15-3-7-7-4-3-11-8-1,16,9.27661
9426,229.127,15,0,0,0,0,100,500,5-8-5-0-13-15-8-7-0-0-1-8-9-12-15-6-2-7-3-8-14-7-15-3-4-10-15-0-16-8-11,32,6.53214
11498,403.963,15,0,0,0,0,100,500,1-10-9-14-0-14-3-14-1-1-11-15-14-2-12-2-16-2-7-2-13-5-2-6-13-2-8-3-4-5-10,2,255.62
8491,313.649,15,0,0,0,0,100,500,6-8-7-5-15-7-3-7-16-13-14-1-8-9-4-9-11-15-9-5-13-7-2-9-6-0-10-5-0-0-12,4,24.8365
8258,381.437,15,0,0,0,0,100,500,2-1-2-8-6-1-11-12-7-12-14-12-4-8-12-12-16-15-10-1-0-15-1-6-5-1-9-12-3-12-13,8,16.9685
8342,411.73,15,0,0,0,0,100,500,9-6-13-3-0-7-14-7-8-10-5-10-7-4-9-4-6-7-12-4-11-15-4-5-2-7-16-9-1-7-0,16,32.0319
